"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-8.619125932E-2,4.118026793E-1,1.004966164E1
2.042829100E-2,-1.388636976E-1,3.160346150E-1,1.009275723E1
4.554100000E-2,-8.619125932E-2,2.633621991E-1,1.007839203E1
6.582858300E-2,0.000000000E0,2.777273953E-1,1.008318043E1
9.071604100E-2,-9.576806799E-3,3.256114423E-1,1.013585281E1
1.164182910E-1,-8.140286058E-2,3.399766386E-1,1.003050804E1
1.365755830E-1,-7.661445439E-2,4.118026793E-1,1.010712242E1
1.567541660E-1,-3.830722719E-2,3.495534360E-1,1.017894840E1
1.805380830E-1,-1.436521020E-2,3.591302633E-1,1.006881523E1
2.007982080E-1,9.576806799E-3,3.208230138E-1,1.003050804E1
2.254458750E-1,-4.788403213E-2,3.543418646E-1,1.013585281E1
2.457969580E-1,-4.788403213E-2,3.639186621E-1,1.020767879E1
2.707180410E-1,1.436521020E-2,4.357447028E-1,9.968258858E0
2.910053330E-1,5.746084079E-2,3.399766386E-1,1.025077438E1
3.164500410E-1,-5.267243832E-2,3.639186621E-1,1.002093124E1
3.368972080E-1,-8.140286058E-2,3.543418646E-1,9.934740067E0
3.604789160E-1,4.309562966E-2,3.016694188E-1,1.015979481E1
3.853914580E-1,-5.267243832E-2,3.543418646E-1,1.024119759E1
4.056094580E-1,3.351882473E-2,5.746083856E-1,1.010233402E1
4.258973750E-1,3.351882473E-2,6.416460276E-1,1.000656605E1
4.459459580E-1,-2.394201607E-2,6.464344859E-1,9.996989250E0
4.707687080E-1,5.746084079E-2,5.985504389E-1,1.001614285E1
4.966492910E-1,-1.580173075E-1,2.825157940E-1,1.010233402E1
5.172437080E-1,-1.915361285E-1,8.619125932E-2,1.021246719E1
5.409342080E-1,5.746084079E-2,-1.436521020E-2,1.019810200E1
5.612567080E-1,-6.703764945E-2,-4.788403213E-2,1.038006115E1
5.862071660E-1,-3.830722719E-2,-5.267243832E-2,1.021725559E1
6.106000410E-1,-1.101332754E-1,1.197100878E-1,1.016937160E1
6.306113750E-1,-9.097966552E-2,3.591302633E-1,9.958682060E0
6.511153330E-1,-8.619125932E-2,5.506663918E-1,1.004966164E1
6.768948750E-1,-3.830722719E-2,5.410895944E-1,9.982624054E0
7.006594580E-1,3.830722719E-2,4.501099288E-1,1.008318043E1
7.256693750E-1,5.746084079E-2,3.543418646E-1,1.026035118E1
7.456742910E-1,0.000000000E0,2.250549644E-1,1.033217716E1
7.663196660E-1,9.576806426E-2,2.106897533E-1,1.016937160E1
7.905265830E-1,0.000000000E0,1.197100878E-1,1.016937160E1
8.113091250E-1,-4.788403213E-2,2.394201756E-1,9.800664902E0
8.373543330E-1,-1.101332754E-1,2.633621991E-1,1.017894840E1
8.608976660E-1,-9.576806426E-2,2.537853718E-1,1.004008484E1
8.856198330E-1,-2.394201607E-2,2.059013397E-1,9.944316864E0
9.056774580E-1,-1.915361360E-2,1.101332754E-1,1.006402683E1
9.257255410E-1,-9.576806799E-3,1.675941199E-1,1.016937160E1
9.458993330E-1,-2.873042040E-2,2.681505978E-1,1.023162079E1
9.709228750E-1,-8.619125932E-2,4.022258818E-1,9.858125687E0
9.971261660E-1,5.267243832E-2,4.309563041E-1,1.021725559E1
1.021069625E0,4.788403399E-3,5.171475410E-1,1.014064121E1
1.045750458E0,-2.394201607E-2,2.777273953E-1,1.000656605E1
1.065980000E0,1.436521020E-2,2.825157940E-1,1.011191082E1
1.090621125E0,-1.292868853E-1,3.208230138E-1,1.019810200E1
1.111098416E0,-1.675941199E-1,4.261679053E-1,1.005445004E1
1.136601333E0,-4.788403213E-2,3.160346150E-1,1.014064121E1
1.157187041E0,3.351882473E-2,1.723825186E-1,1.007360363E1
1.180744916E0,-2.394201607E-2,8.619125932E-2,1.011669922E1
1.206146708E0,0.000000000E0,1.436521020E-2,1.021246719E1
1.226813041E0,0.000000000E0,1.436520964E-1,1.012627602E1
1.251052291E0,2.394201607E-2,2.633621991E-1,1.005445004E1
1.277602250E0,1.436521020E-2,3.782838583E-1,1.011669922E1
1.300997708E0,2.873042040E-2,3.974374831E-1,1.003050804E1
1.325773416E0,-1.436521020E-2,2.681505978E-1,1.007839203E1
1.350702916E0,2.394201607E-2,2.729389966E-1,1.020289040E1
1.370712041E0,3.351882473E-2,3.447650373E-1,1.007839203E1
1.390797166E0,-4.788403399E-3,4.022258818E-1,1.015021801E1
1.416757083E0,-5.267243832E-2,3.687070608E-1,1.013585281E1
1.436763291E0,-1.149216816E-1,2.920926213E-1,1.004487324E1
1.458113541E0,-1.915361360E-2,1.963245422E-1,1.009754562E1
1.482490625E0,9.576806426E-2,1.244984865E-1,1.009754562E1
1.506031166E0,9.097966552E-2,1.628057212E-1,1.011191082E1
1.530615541E0,-4.788403399E-3,3.064578176E-1,1.009754562E1
1.550701041E0,8.140286058E-2,3.351882398E-1,1.012148762E1
1.570903541E0,9.097966552E-2,2.873041928E-1,1.013106441E1
1.591071416E0,-6.224924326E-2,3.160346150E-1,1.008318043E1
1.611358666E0,-2.442085743E-1,3.782838583E-1,1.010233402E1
1.637384125E0,-1.340752989E-1,5.123591423E-1,1.009754562E1
1.660747041E0,-1.388636976E-1,4.788403511E-1,1.026035118E1
1.681311958E0,-2.681505978E-1,3.064578176E-1,9.838972092E0
1.706092416E0,-1.484405100E-1,1.484405100E-1,1.021246719E1
1.726655791E0,-1.484405100E-1,3.160346150E-1,1.009275723E1
1.746958250E0,-2.729389966E-1,3.591302633E-1,1.012148762E1
1.770693500E0,-1.819593310E-1,4.548983276E-1,1.025556278E1
1.790750208E0,-2.298433632E-1,5.506663918E-1,1.018852520E1
1.810770041E0,-1.675941199E-1,6.464344859E-1,1.010712242E1
