"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-5.123591423E-1,2.825157940E-1,9.939528465E0
2.353437500E-2,-3.351882398E-1,1.771709323E-1,1.015021801E1
4.374704100E-2,-3.830722570E-1,2.394201756E-1,1.009275723E1
6.873466600E-2,-3.399766386E-1,2.250549644E-1,1.009275723E1
8.878454100E-2,-3.926490843E-1,1.771709323E-1,1.005923843E1
1.088907500E-1,-3.208230138E-1,9.576806426E-2,1.016937160E1
1.338698330E-1,-4.788403399E-3,1.819593310E-1,9.977835655E0
1.540635830E-1,-1.388636976E-1,3.399766386E-1,1.007839203E1
1.801396250E-1,-3.734954596E-1,2.729389966E-1,1.017894840E1
2.037573330E-1,-4.213795066E-1,1.628057212E-1,1.023640919E1
2.238860410E-1,-3.782838583E-1,2.729389966E-1,9.915586472E0
2.487388330E-1,-2.681505978E-1,1.580173075E-1,1.011669922E1
2.739398330E-1,-2.825157940E-1,1.005564705E-1,1.003529644E1
3.004411250E-1,-3.639186621E-1,1.436520964E-1,1.005445004E1
3.236727500E-1,-2.729389966E-1,2.298433632E-1,1.020767879E1
3.444013330E-1,-3.399766386E-1,3.016694188E-1,1.014064121E1
3.686817500E-1,-3.687070608E-1,4.357447028E-1,1.004966164E1
3.941005830E-1,-3.064578176E-1,3.399766386E-1,1.002571964E1
4.197362080E-1,-2.873041928E-1,2.106897533E-1,1.005445004E1
4.398507910E-1,-3.591302633E-1,8.619125932E-2,1.013585281E1
4.640870830E-1,-2.920926213E-1,1.340752989E-1,1.019331360E1
4.886218330E-1,-2.873041928E-1,2.537853718E-1,1.002093124E1
5.089355410E-1,-4.213795066E-1,3.064578176E-1,1.012148762E1
5.289614160E-1,-3.064578176E-1,3.016694188E-1,1.016937160E1
5.537641250E-1,-2.633621991E-1,2.633621991E-1,1.011191082E1
5.739938750E-1,-2.585737705E-1,2.825157940E-1,1.012627602E1
5.998733750E-1,-2.825157940E-1,3.639186621E-1,1.004966164E1
6.239015830E-1,-2.681505978E-1,4.548983276E-1,9.973047256E0
6.457481660E-1,-1.580173075E-1,3.447650373E-1,1.010233402E1
6.686921660E-1,-3.256114423E-1,2.729389966E-1,1.045667553E1
6.939547080E-1,-3.208230138E-1,3.830722570E-1,1.003050804E1
7.200868330E-1,-3.064578176E-1,4.644751251E-1,9.891644478E0
7.439822910E-1,-3.160346150E-1,2.873041928E-1,1.018852520E1
7.639995000E-1,-4.022258818E-1,2.202665508E-1,1.028908157E1
7.887155830E-1,-3.591302633E-1,2.442085743E-1,1.001614285E1
8.089284580E-1,-2.011129409E-1,2.250549644E-1,9.944316864E0
8.289952500E-1,-2.298433632E-1,3.016694188E-1,1.012627602E1
8.496735410E-1,-3.399766386E-1,3.399766386E-1,1.022683239E1
8.754466250E-1,-2.202665508E-1,4.261679053E-1,1.014064121E1
9.007145410E-1,-9.097966552E-2,4.022258818E-1,9.906009674E0
9.237625410E-1,-1.197100878E-1,3.303998411E-1,1.032738876E1
9.486342500E-1,-2.633621991E-1,3.016694188E-1,1.016937160E1
