"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,3.351882473E-2,2.154781520E-1,1.005445004E1
2.399737500E-2,-1.771709323E-1,4.213795066E-1,9.920374870E0
4.414608300E-2,0.000000000E0,4.884171486E-1,1.026992798E1
6.886195800E-2,-4.788403399E-3,4.261679053E-1,1.010233402E1
8.890870800E-2,-4.309562966E-2,3.112462163E-1,1.013106441E1
1.090547500E-1,-3.351882473E-2,2.681505978E-1,1.005445004E1
1.340131670E-1,-4.788403399E-3,3.160346150E-1,1.011669922E1
1.541371670E-1,-3.830722719E-2,3.591302633E-1,1.010712242E1
1.742873750E-1,1.915361360E-2,3.639186621E-1,1.010233402E1
2.000308330E-1,9.576806799E-3,4.213795066E-1,1.005445004E1
2.202219170E-1,-3.830722719E-2,3.926490843E-1,1.005923843E1
2.442957500E-1,-1.436521020E-2,3.782838583E-1,1.008796883E1
2.690890000E-1,3.830722719E-2,3.256114423E-1,1.008796883E1
2.892882500E-1,5.267243832E-2,4.118026793E-1,1.009275723E1
3.140976250E-1,-1.436521020E-2,6.177040339E-1,1.009754562E1
3.399329580E-1,5.267243832E-2,6.560112834E-1,9.992200851E0
3.638945830E-1,-6.224924326E-2,5.554547906E-1,1.013585281E1
3.841826670E-1,-1.340752989E-1,3.256114423E-1,1.017416000E1
4.090340000E-1,-1.053448766E-1,1.436520964E-1,1.033217716E1
4.341966250E-1,-7.661445439E-2,1.197100878E-1,1.013106441E1
4.603650420E-1,1.915361360E-2,1.292868853E-1,9.901221275E0
4.806657500E-1,4.788403399E-3,7.182604820E-2,1.012627602E1
5.044450830E-1,-1.436521020E-2,5.746084079E-2,1.014542961E1
5.292906250E-1,-1.244984865E-1,1.532289088E-1,1.003529644E1
5.494405000E-1,-1.149216816E-1,1.484405100E-1,9.963470459E0
5.740891250E-1,9.576806799E-3,1.915361360E-2,1.016937160E1
5.945320830E-1,1.244984865E-1,-5.746084079E-2,1.016458321E1
6.200590000E-1,8.140286058E-2,1.915361360E-2,1.026035118E1
6.403902080E-1,9.576806799E-3,1.580173075E-1,1.018852520E1
6.641312500E-1,-9.576806799E-3,2.537853718E-1,1.019810200E1
6.892145830E-1,-1.436521020E-2,3.495534360E-1,1.006402683E1
7.100772080E-1,-9.097966552E-2,4.165911078E-1,9.973047256E0
7.341062920E-1,-8.140286058E-2,1.771709323E-1,1.019810200E1
7.604110000E-1,-1.915361360E-2,2.920926213E-1,1.010233402E1
7.841533330E-1,4.788403399E-3,2.633621991E-1,9.824606895E0
8.090883750E-1,4.788403399E-3,-6.224924326E-2,1.017416000E1
8.341151250E-1,-4.309562966E-2,-1.149216816E-1,1.022204399E1
8.597544170E-1,-1.436521020E-2,-6.224924326E-2,1.038484955E1
8.805050000E-1,-4.788403399E-3,6.703764945E-2,1.016458321E1
9.005622920E-1,-1.436521020E-2,2.011129409E-1,1.017416000E1
9.241223750E-1,-3.830722719E-2,2.777273953E-1,1.002093124E1
9.441683750E-1,-1.197100878E-1,3.016694188E-1,1.008796883E1
9.642988750E-1,-8.140286058E-2,2.011129409E-1,1.004487324E1
9.892155000E-1,0.000000000E0,9.097966552E-2,1.000177765E1
1.014431417E0,-1.436521020E-2,1.101332754E-1,1.015979481E1
1.040166875E0,-3.351882473E-2,1.867477298E-1,1.022204399E1
1.060318417E0,-4.788403213E-2,2.154781520E-1,1.014064121E1
1.083916958E0,-4.309562966E-2,1.723825186E-1,9.843760490E0
1.104041167E0,5.746084079E-2,9.097966552E-2,1.023162079E1
1.124870583E0,5.267243832E-2,4.788403213E-2,1.017416000E1
1.149501375E0,-1.005564705E-1,2.394201607E-2,1.010233402E1
1.174341375E0,-4.788403213E-2,7.661445439E-2,1.008318043E1
1.200019042E0,-3.351882473E-2,2.011129409E-1,1.017416000E1
1.224601417E0,-4.788403213E-2,2.633621991E-1,1.011191082E1
1.248972542E0,-8.619125932E-2,1.244984865E-1,1.018852520E1
1.269162625E0,-1.580173075E-1,3.830722719E-2,1.015500641E1
1.294388542E0,-1.628057212E-1,6.224924326E-2,1.011191082E1
1.319837000E0,-1.915361360E-2,5.746084079E-2,1.019810200E1
1.339867250E0,-9.576806799E-3,1.244984865E-1,1.019331360E1
1.360444208E0,3.351882473E-2,2.106897533E-1,1.017416000E1
1.384428375E0,-4.788403399E-3,1.675941199E-1,1.007360363E1
1.408957542E0,-3.351882473E-2,1.867477298E-1,1.002093124E1
1.429316625E0,-3.351882473E-2,1.197100878E-1,1.013106441E1
1.453989833E0,-2.873042040E-2,1.053448766E-1,1.013106441E1
1.474115917E0,-3.351882473E-2,1.340752989E-1,1.012148762E1
1.494202125E0,5.746084079E-2,1.675941199E-1,1.015021801E1
1.514879250E0,0.000000000E0,1.628057212E-1,1.012627602E1
1.540484542E0,-3.830722719E-2,0.000000000E0,1.013106441E1
1.564395125E0,-3.830722719E-2,-1.915361360E-2,1.010712242E1
1.589126417E0,-5.267243832E-2,6.224924326E-2,1.004008484E1
1.614841000E0,-2.873042040E-2,1.723825186E-1,1.010233402E1
1.639957917E0,-9.576806799E-3,2.777273953E-1,1.015500641E1
1.660524833E0,-3.351882473E-2,1.963245422E-1,1.010712242E1
1.684374000E0,4.788403399E-3,3.830722719E-2,1.014542961E1
1.709084958E0,-5.267243832E-2,2.394201607E-2,1.021725559E1
1.729096625E0,-1.915361360E-2,1.819593310E-1,1.001614285E1
1.749370792E0,-2.394201607E-2,2.681505978E-1,1.014064121E1
1.774725709E0,-7.182604820E-2,1.963245422E-1,9.752780914E0
1.799255667E0,-1.915361360E-2,1.340752989E-1,1.023162079E1
1.819789042E0,1.292868853E-1,-1.915361360E-2,1.005445004E1
1.840593334E0,-9.576806799E-3,-4.788403399E-3,1.005445004E1
1.864143084E0,4.788403213E-2,5.746084079E-2,1.003529644E1
1.884522625E0,8.619125932E-2,1.484405100E-1,1.022204399E1
1.909220417E0,-9.097966552E-2,2.633621991E-1,1.019810200E1
1.929313167E0,-1.101332754E-1,4.022258818E-1,1.001614285E1
1.954148417E0,-5.746084079E-2,2.059013397E-1,1.008796883E1
1.974339167E0,-2.394201607E-2,1.244984865E-1,1.022204399E1
1.999965375E0,-1.005564705E-1,3.830722719E-2,1.022683239E1
2.020748042E0,-7.661445439E-2,6.703764945E-2,1.012148762E1
2.044186167E0,-1.101332754E-1,1.388636976E-1,1.006881523E1
2.064313459E0,-1.005564705E-1,1.723825186E-1,1.007839203E1
2.089079459E0,-1.723825186E-1,1.915361360E-2,1.004966164E1
2.109289167E0,-1.197100878E-1,5.267243832E-2,1.010233402E1
2.129503209E0,-9.097966552E-2,6.703764945E-2,1.002093124E1
2.154199250E0,-9.097966552E-2,6.703764945E-2,1.016458321E1
2.174405750E0,-6.224924326E-2,1.340752989E-1,1.020767879E1
2.200371375E0,-5.746084079E-2,2.106897533E-1,9.987412453E0
2.224993042E0,-8.140286058E-2,1.101332754E-1,1.008796883E1
