"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.988459292E0,-3.591302633E-1,4.740519226E-1,1.011669922E1
2.008607167E0,-3.734954596E-1,4.836287498E-1,1.007839203E1
2.028695251E0,-3.974374831E-1,4.644751251E-1,1.016937160E1
2.053358959E0,-3.399766386E-1,4.309563041E-1,1.003529644E1
2.073454376E0,-2.729389966E-1,3.878606856E-1,1.001135445E1
2.093553542E0,-2.681505978E-1,3.256114423E-1,1.006881523E1
2.119476667E0,-3.495534360E-1,2.968810201E-1,1.013106441E1
2.139633042E0,-3.303998411E-1,4.022258818E-1,1.023162079E1
2.160370751E0,-4.405331016E-1,6.512228847E-1,9.805453300E0
2.183392292E0,-3.351882398E-1,6.607996821E-1,1.018852520E1
2.203662792E0,-3.303998411E-1,4.453215301E-1,9.949105263E0
2.228511292E0,-4.309563041E-1,2.777273953E-1,1.009275723E1
2.253508251E0,-2.825157940E-1,2.633621991E-1,9.996989250E0
2.280117459E0,-3.639186621E-1,3.639186621E-1,1.022204399E1
2.303406292E0,-4.309563041E-1,5.458779931E-1,1.014542961E1
2.324219334E0,-4.692635238E-1,6.512228847E-1,1.020289040E1
2.348504292E0,-3.303998411E-1,6.512228847E-1,1.006881523E1
2.373284042E0,-2.633621991E-1,6.081272364E-1,1.009275723E1
2.393395084E0,-2.346317619E-1,5.123591423E-1,9.992200851E0
2.413521751E0,-2.202665508E-1,4.836287498E-1,1.003050804E1
2.439766042E0,-2.489969730E-1,3.974374831E-1,1.019331360E1
2.460145001E0,-4.118026793E-1,4.692635238E-1,1.016937160E1
2.483430167E0,-3.351882398E-1,4.932055473E-1,1.005923843E1
2.508391209E0,-2.825157940E-1,4.118026793E-1,1.009275723E1
2.528441792E0,-3.543418646E-1,4.405331016E-1,1.011191082E1
2.553309459E0,-4.118026793E-1,5.985504389E-1,1.004008484E1
2.574601209E0,-4.261679053E-1,6.464344859E-1,1.009275723E1
2.599437376E0,-3.974374831E-1,6.847416759E-1,1.012627602E1
2.619585584E0,-3.543418646E-1,6.368576288E-1,1.004966164E1
2.640447334E0,-3.495534360E-1,5.793967843E-1,1.005923843E1
2.663633542E0,-4.309563041E-1,5.841852427E-1,1.003529644E1
2.688449834E0,-4.836287498E-1,5.841852427E-1,1.003050804E1
2.708711292E0,-3.878606856E-1,5.458779931E-1,1.010712242E1
2.728714959E0,-3.447650373E-1,5.171475410E-1,1.017894840E1
2.753644334E0,-4.548983276E-1,5.698199868E-1,1.007839203E1
2.774275792E0,-5.219359994E-1,6.416460276E-1,1.009754562E1
2.800211042E0,-4.979939461E-1,5.793967843E-1,1.005923843E1
2.820444459E0,-4.932055473E-1,6.799532771E-1,1.019331360E1
2.842057334E0,-4.932055473E-1,7.900865674E-1,9.949105263E0
2.865803459E0,-4.405331016E-1,6.224924326E-1,1.004487324E1
2.891090126E0,-5.793967843E-1,5.841852427E-1,1.005445004E1
2.916005834E0,-3.543418646E-1,4.692635238E-1,1.000177765E1
2.941363209E0,-3.208230138E-1,5.123591423E-1,1.017416000E1
2.965422959E0,-5.075707436E-1,7.230489254E-1,1.015979481E1
2.985592959E0,-5.363011956E-1,7.517793179E-1,1.013106441E1
3.010502209E0,-5.458779931E-1,6.991068721E-1,1.015500641E1
3.030658876E0,-5.075707436E-1,6.081272364E-1,1.009754562E1
3.055535584E0,-3.974374831E-1,5.458779931E-1,1.005445004E1
3.075708084E0,-4.309563041E-1,5.075707436E-1,1.005445004E1
3.095724001E0,-3.830722570E-1,4.932055473E-1,1.007839203E1
3.116021459E0,-3.495534360E-1,5.554547906E-1,1.016937160E1
3.141245209E0,-5.075707436E-1,7.565677166E-1,9.896432877E0
3.161831876E0,-4.357447028E-1,8.236053586E-1,1.014064121E1
3.181924709E0,-4.596867263E-1,7.709329724E-1,1.021246719E1
3.205942459E0,-5.315127969E-1,7.422025204E-1,1.011669922E1
3.225988917E0,-4.884171486E-1,6.847416759E-1,1.011669922E1
3.250902376E0,-4.070142806E-1,6.177040339E-1,1.010233402E1
3.276082459E0,-3.016694188E-1,4.932055473E-1,1.008796883E1
3.301737542E0,-3.160346150E-1,4.692635238E-1,1.007360363E1
3.326002084E0,-3.926490843E-1,5.410895944E-1,1.008796883E1
3.350490626E0,-4.118026793E-1,5.889736414E-1,1.012627602E1
3.375445167E0,-4.692635238E-1,6.943184733E-1,1.002571964E1
3.395523501E0,-4.644751251E-1,6.943184733E-1,1.001614285E1
3.421819417E0,-4.932055473E-1,5.889736414E-1,1.014064121E1
3.446743292E0,-4.309563041E-1,5.602431893E-1,1.010712242E1
3.470512084E0,-4.836287498E-1,6.368576288E-1,9.906009674E0
3.491006084E0,-5.075707436E-1,6.655880809E-1,1.010712242E1
3.515754417E0,-3.878606856E-1,5.889736414E-1,1.014064121E1
3.541750084E0,-4.261679053E-1,6.272808313E-1,1.001135445E1
3.565782126E0,-3.303998411E-1,6.033388376E-1,9.958682060E0
3.590540501E0,-2.825157940E-1,6.416460276E-1,1.028429317E1
3.610685084E0,-3.064578176E-1,6.847416759E-1,1.016937160E1
3.635568917E0,-3.974374831E-1,7.613561153E-1,1.011669922E1
3.661265376E0,-4.548983276E-1,7.182605267E-1,1.008318043E1
3.681348001E0,-4.405331016E-1,5.985504389E-1,1.011669922E1
3.701574584E0,-4.453215301E-1,5.602431893E-1,1.020767879E1
3.721884459E0,-3.734954596E-1,5.889736414E-1,1.015021801E1
3.745497667E0,-4.165911078E-1,6.129156351E-1,1.013585281E1
3.765940167E0,-4.501099288E-1,6.177040339E-1,1.018373680E1
3.790576292E0,-5.410895944E-1,6.320692301E-1,9.882067680E0
3.812069709E0,-4.165911078E-1,6.272808313E-1,1.001614285E1
3.835655959E0,-4.118026793E-1,5.458779931E-1,1.008796883E1
3.855931126E0,-3.878606856E-1,5.698199868E-1,1.009275723E1
3.881566542E0,-4.213795066E-1,6.751648784E-1,1.013585281E1
3.902217292E0,-4.165911078E-1,6.943184733E-1,1.013585281E1
3.925693417E0,-4.692635238E-1,7.086837292E-1,1.011191082E1
3.950516751E0,-4.309563041E-1,5.985504389E-1,1.015979481E1
3.970731418E0,-4.022258818E-1,6.224924326E-1,1.015500641E1
3.996009584E0,-4.309563041E-1,5.841852427E-1,1.010712242E1
4.021648209E0,-3.926490843E-1,6.177040339E-1,1.000177765E1
4.044417709E0,-4.357447028E-1,6.272808313E-1,1.001614285E1
4.065555918E0,-3.782838583E-1,6.512228847E-1,1.013585281E1
4.085750084E0,-3.303998411E-1,6.847416759E-1,1.009754562E1
4.110539834E0,-4.357447028E-1,7.469909191E-1,1.014542961E1
4.135622876E0,-4.405331016E-1,6.895300746E-1,1.019810200E1
4.155744209E0,-3.016694188E-1,5.889736414E-1,1.001135445E1
4.181393918E0,-4.405331016E-1,5.793967843E-1,1.007839203E1
4.201565626E0,-4.788403511E-1,5.650315881E-1,9.977835655E0
4.221694168E0,-4.022258818E-1,5.793967843E-1,1.018852520E1
4.241695418E0,-3.591302633E-1,6.272808313E-1,1.023640919E1
4.263552334E0,-3.926490843E-1,8.140285611E-1,1.014542961E1
4.285846251E0,-3.687070608E-1,8.236053586E-1,1.008318043E1
4.306093834E0,-3.926490843E-1,7.326257229E-1,1.011669922E1
4.326251459E0,-4.501099288E-1,6.224924326E-1,1.010233402E1
4.350400376E0,-4.118026793E-1,5.506663918E-1,1.014064121E1
4.370677168E0,-4.261679053E-1,5.793967843E-1,1.017894840E1
4.395514251E0,-4.118026793E-1,5.889736414E-1,9.982624054E0
4.415775293E0,-4.692635238E-1,7.709329724E-1,1.017416000E1
4.435990793E0,-4.836287498E-1,8.044517636E-1,9.963470459E0
4.461658709E0,-3.974374831E-1,6.703764796E-1,1.011669922E1
4.485492418E0,-3.974374831E-1,6.129156351E-1,1.004487324E1
4.510659209E0,-3.782838583E-1,6.560112834E-1,1.012627602E1
4.536023459E0,-4.453215301E-1,7.374141216E-1,1.011191082E1
4.556940376E0,-4.118026793E-1,7.805097699E-1,1.005445004E1
4.582242626E0,-3.926490843E-1,7.278373241E-1,1.011191082E1
4.602599251E0,-4.022258818E-1,6.607996821E-1,1.011191082E1
4.622887251E0,-4.165911078E-1,5.746083856E-1,1.012627602E1
4.646672376E0,-4.213795066E-1,5.650315881E-1,1.010712242E1
4.671525709E0,-4.357447028E-1,6.320692301E-1,1.001614285E1
4.691547626E0,-4.836287498E-1,6.320692301E-1,1.014542961E1
4.711608959E0,-3.639186621E-1,6.320692301E-1,1.014542961E1
4.736556959E0,-3.351882398E-1,6.895300746E-1,1.011669922E1
4.756590584E0,-5.027823448E-1,7.996633649E-1,9.781511307E0
