"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-1.244984865E-1,-4.788403399E-3,1.009275723E1
2.009091700E-2,-1.005564705E-1,1.436521020E-2,9.853337288E0
4.080629200E-2,-2.633621991E-1,1.436520964E-1,1.013585281E1
6.527229200E-2,-2.298433632E-1,1.292868853E-1,1.005445004E1
9.033100000E-2,-1.436520964E-1,0.000000000E0,9.963470459E0
1.159881670E-1,1.436521020E-2,-1.484405100E-1,1.020767879E1
1.366373750E-1,-1.340752989E-1,3.351882473E-2,1.009754562E1
1.569134580E-1,-1.867477298E-1,2.489969730E-1,1.006402683E1
1.803878750E-1,-2.202665508E-1,2.442085743E-1,1.007839203E1
2.052803750E-1,-2.346317619E-1,-1.436521020E-2,1.012627602E1
2.254249170E-1,-2.394201756E-1,-2.059013397E-1,1.007360363E1
2.503534580E-1,-2.202665508E-1,-6.703764945E-2,1.015500641E1
2.703898750E-1,-2.298433632E-1,-2.394201607E-2,1.025077438E1
2.960752080E-1,-1.292868853E-1,1.867477298E-1,1.009275723E1
3.166092500E-1,-1.340752989E-1,1.580173075E-1,1.009275723E1
3.404107500E-1,-1.963245422E-1,8.619125932E-2,9.982624054E0
3.653493330E-1,-2.011129409E-1,-1.436521020E-2,1.011669922E1
3.903860000E-1,-1.484405100E-1,9.576806799E-3,1.011191082E1
4.160723750E-1,-1.484405100E-1,8.619125932E-2,1.015021801E1
4.367587500E-1,-1.484405100E-1,1.532289088E-1,1.007360363E1
4.605780830E-1,-1.867477298E-1,1.867477298E-1,9.977835655E0
4.851533750E-1,-2.011129409E-1,2.873042040E-2,1.019810200E1
5.052237500E-1,-1.915361285E-1,-9.576806799E-3,1.011669922E1
5.302303750E-1,-1.484405100E-1,6.703764945E-2,1.010233402E1
5.502402500E-1,-1.867477298E-1,1.340752989E-1,1.004487324E1
5.708990420E-1,-1.915361285E-1,1.723825186E-1,1.005923843E1
5.961104170E-1,-2.250549644E-1,8.140286058E-2,1.008796883E1
6.200547920E-1,-1.675941199E-1,-1.436521020E-2,1.010712242E1
6.402967500E-1,-1.197100878E-1,-1.149216816E-1,1.015979481E1
6.603472920E-1,-1.532289088E-1,9.576806799E-3,1.022204399E1
6.851773750E-1,-1.675941199E-1,2.106897533E-1,1.008318043E1
7.102240420E-1,-2.154781520E-1,2.633621991E-1,1.018852520E1
7.303111670E-1,-1.101332754E-1,9.097966552E-2,1.014542961E1
7.503459580E-1,-1.675941199E-1,-2.394201607E-2,1.009275723E1
7.709655000E-1,-1.963245422E-1,-1.197100878E-1,1.001614285E1
7.964862920E-1,-8.619125932E-2,1.436521020E-2,1.008318043E1
8.201884580E-1,-1.101332754E-1,1.580173075E-1,1.004008484E1
8.403387080E-1,-1.149216816E-1,2.202665508E-1,1.008796883E1
8.651354580E-1,-1.484405100E-1,1.723825186E-1,9.992200851E0
8.854422080E-1,-1.963245422E-1,8.140286058E-2,1.002571964E1
9.103017920E-1,-1.723825186E-1,-1.436520964E-1,1.011669922E1
9.303728750E-1,-1.436520964E-1,-1.867477298E-1,1.028429317E1
9.560492080E-1,-1.915361285E-1,-7.661445439E-2,9.953893661E0
9.801256250E-1,-2.394201756E-1,1.580173075E-1,9.996989250E0
1.000230917E0,-2.394201756E-1,1.292868853E-1,1.005445004E1
1.020487417E0,-2.729389966E-1,4.309562966E-2,9.958682060E0
1.045363417E0,-2.585737705E-1,-1.197100878E-1,9.944316864E0
1.070184208E0,-4.070142806E-1,-1.580173075E-1,1.013106441E1
1.090215750E0,-2.202665508E-1,2.873042040E-2,1.001135445E1
1.110568542E0,4.309562966E-2,4.309562966E-2,1.015021801E1
1.136685500E0,1.197100878E-1,-8.619125932E-2,1.004008484E1
1.160338500E0,1.436521020E-2,-1.819593310E-1,1.012627602E1
1.185404208E0,-4.309562966E-2,-2.729389966E-1,1.001614285E1
1.210416042E0,-3.351882473E-2,-8.140286058E-2,9.992200851E0
1.236067458E0,-6.703764945E-2,8.140286058E-2,1.009275723E1
1.256127250E0,-1.149216816E-1,4.788403213E-2,1.012148762E1
1.276645958E0,-1.867477298E-1,5.267243832E-2,1.010233402E1
1.300208125E0,-2.011129409E-1,6.224924326E-2,1.013106441E1
1.320215708E0,-4.788403213E-2,3.351882473E-2,1.022204399E1
